ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"192.12.113.232","elite","AS61942","BR","Turbonet Telecom Ltda","194","Turbonet Telecom Ltda","4145","socks4","4903","1","2023-10-10T02:36:08.842Z","81","3482","4295"
"186.251.255.209","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","215","Seanet Telecom Carazinho Eireli","31337","socks4","4787","1","2023-10-10T02:36:08.841Z","100","4301","4319"
"121.62.60.205","elite","AS148981","CN","China Telecom","297","Chinanet HB","20170","socks5","4802","1","2023-10-10T02:36:08.844Z","65","2764","4250"
"212.69.12.193","elite","AS52116","RS","Orion Telekom Tim d.o.o.Beograd","38","Orion Telekom Tim d.o.o.Beograd","1080","socks4","4510","1","2023-10-10T02:36:06.743Z","100","4217","4236"
"181.88.73.214","elite","AS7303","AR","Telecom Argentina S.A","299","Telecom Acceso","5678","socks4","2016","1","2023-10-10T02:36:06.739Z","100","4231","4239"
"187.11.232.71","elite","AS27699","BR","Vivo","200","TELEF�NICA BRASIL S.A","4153","socks4","1000","1","2023-10-10T02:36:06.737Z","100","4314","4323"
"176.100.77.118","elite","AS49718","RU","Nizhnevolzhskie Telecommunication Networks Real Ltd.","85","REAL","3629","socks4","4596","1","2023-10-10T02:36:06.744Z","98","4072","4167"
"104.16.81.76","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4790","1","2023-10-10T02:36:06.741Z","100","4209","4209"
"178.212.51.79","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","82","Lubuskie Sieci Swiatlowodowe Sp. z o. o","5678","socks4","4306","2","2023-10-10T02:36:06.838Z","99","4249","4271"
"85.143.213.2","elite","AS201848","RU","Trader soft LLC","98","TIMES","9050","socks5","4889","1","2023-10-10T02:36:06.742Z","99","4204","4258"
"213.6.33.110","elite","AS12975","PS","Palestine Telecommunications Company","58","Palestine Telecommunications Company","4145","socks4","4796","1","2023-10-10T02:36:04.535Z","99","4193","4240"
"120.27.14.145","elite","AS37963","CN","Addresses CNNIC","190","Aliyun Computing Co., LTD","80","socks4","242","1","2023-10-10T02:36:04.440Z","83","3612","4329"
"45.32.3.90","elite","AS20473","US","The Constant Company","95","Knoxville Internet","8888","socks5","2379","1","2023-10-10T02:36:04.441Z","100","4262","4262"
"203.24.102.86","elite","AS209242","VG","Cloudflare London, LLC","11","Anaga Consulting Limited","80","socks4","3790","1","2023-10-10T02:36:01.733Z","100","4292","4294"
"123.59.100.245","elite","AS23724","CN","CloudVsp.Inc","161","N/A","1080","socks4","4996","1","2023-10-10T02:36:01.749Z","80","3401","4263"
"178.250.70.218","elite","AS51580","IT","Timenet SPA","100","Time-net S.R.L","1088","socks4","4892","1","2023-10-10T02:36:01.645Z","97","4182","4306"
"183.89.176.143","elite","AS45629","TH","Triple T Broadband Public Company Limited","203","Triple T Broadband Public Company Limited","5678","socks4","4992","1","2023-10-10T02:36:01.648Z","93","3930","4228"
"202.165.38.185","elite","AS17538","ID","Circlecom","182","N/A","5678","socks4","4913","1","2023-10-10T02:36:01.642Z","100","4251","4266"
"45.172.108.53","elite","AS265741","AR","GPS SANJUAN SRL.","289","N/A","9991","socks4","5090","1","2023-10-10T02:36:01.647Z","90","3806","4217"
"118.174.65.251","elite","AS23969","TH","TOT Public Company Limited","190","TOT Public Company Limited","4145","socks4","3399","1","2023-10-10T02:36:01.833Z","100","4305","4321"
"62.171.135.216","elite","AS51167","DE","Contabo GmbH","87","Contabo GmbH","50037","socks5","5007","1","2023-10-10T02:36:01.735Z","99","4194","4230"
"5.189.153.171","elite","AS51167","DE","Contabo GmbH","92","Contabo GmbH","51167","socks4","4894","1","2023-10-10T02:35:58.754Z","100","4210","4228"
"103.47.93.247","elite","AS134058","IN","Broban Internet Services Pvt.ltd","164","Broban  PVT Ltd.","1080","socks4","1898","1","2023-10-10T02:35:58.649Z","99","4247","4276"
"46.28.111.54","elite","AS197019","CZ","WEDOS Internet","78","WEDOS hosting services","1080","socks4","4905","1","2023-10-10T02:35:58.751Z","100","4258","4258"
"116.58.254.88","elite","AS131090","TH","CAT-BB","207","N/A","4145","socks4","3103","1","2023-10-10T02:35:58.737Z","89","3770","4228"
"182.111.75.174","elite","AS4134","CN","Chinanet","288","Chinanet JX","20010","socks5","290","1","2023-10-10T02:35:58.647Z","42","1770","4227"
"8.219.11.125","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","398","Alibaba.com Singapore E-Commerce Private Limited","443","socks5","4505","1","2023-10-10T02:35:58.734Z","67","2862","4279"
"84.53.247.204","elite","AS34168","RU","Elcom ISP","97","OJSC Rostelecom","53281","socks4","5092","1","2023-10-10T02:35:55.937Z","100","4196","4217"
"36.73.107.91","elite","AS7713","ID","PT. TELKOM INDONESIA","197","N/A","5678","socks4","3909","1","2023-10-10T02:35:55.936Z","92","3904","4248"
"110.78.164.188","elite","AS131090","TH","CAT-BB","207","N/A","4153","socks4","5008","1","2023-10-10T02:35:55.849Z","56","2424","4327"
"103.85.103.9","elite","AS135788","IN","Vedant Broadband","132","N/A","5678","socks4","4212","1","2023-10-10T02:35:55.847Z","99","4260","4295"
"84.51.0.198","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","56","Siba Bilisim Telekominikasyon Elektronik Ithalat Ihracat Limited","4145","socks4","4811","1","2023-10-10T02:35:55.950Z","100","4270","4277"
"159.138.54.27","elite","AS136907","HK","Huawei International Pte. Ltd.","302","N/A","24388","socks5","4993","1","2023-10-10T02:35:53.239Z","99","4217","4251"
"185.233.202.110","elite","AS200740","NL","First Server Limited","95","Firstbyte Hosting","8088","socks4","5185","1","2023-10-10T02:35:53.246Z","99","4208","4252"
"103.120.146.32","elite","AS138042","BD","Runway Broadband","186","Runwaybroadband","5678","socks4","4790","1","2023-10-10T02:35:53.243Z","96","4090","4250"
"107.174.121.140","elite","AS36352","US","ColoCrossing","113","RackNerd LLC","3128","socks4","4398","1","2023-10-10T02:35:53.242Z","72","2975","4153"
"178.253.201.11","elite","AS9125","RS","Orion Telekom ISP IP Network","36","N/A","9125","socks4","4606","1","2023-10-10T02:35:50.549Z","100","4265","4282"
"38.127.179.124","elite","AS174","US","Cogent Communications","79","Torlandia Trading SRL","15290","socks4","4389","1","2023-10-10T02:35:50.547Z","100","4248","4253"
"213.231.4.181","elite","AS34661","UA","TOV TRK \"Briz\"","56","Briz","8080","socks4","4802","1","2023-10-10T02:35:50.533Z","100","4185","4202"
"104.16.241.204","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","5011","1","2023-10-10T02:35:50.449Z","100","4196","4197"
"193.136.14.120","elite","AS1930","PT","Fundacao para a Ciencia e a Tecnologia, I.P.","64","N/A","80","socks4","4999","82","2023-10-10T02:35:50.451Z","93","4083","4368"
"118.71.99.233","elite","AS18403","VN","FPT Telecom Company","313","Vietnam Internet Network Information Center","5678","socks4","3201","1","2023-10-10T02:35:47.551Z","99","4267","4290"
"43.134.230.127","elite","AS132203","SG","Aceville Pte.ltd","385","N/A","443","socks4","4599","1","2023-10-10T02:35:47.548Z","87","3706","4278"
"82.115.18.179","elite","AS212552","DE","BitCommand LLC","18","BitCommand LLC","1080","socks5","5008","1","2023-10-10T02:35:47.635Z","99","4182","4230"
"121.13.252.58","elite","AS4134","CN","Chinanet","232","Chinanet GD","61401","socks4","4591","1","2023-10-10T02:35:47.555Z","83","3532","4266"
"12.89.124.138","elite","AS7018","US","AT&T Services, Inc.","131","CFWN Pool ATTCT-NMPL13","4145","socks4","506","1","2023-10-10T02:35:47.636Z","99","4165","4207"
"221.229.252.98","elite","AS4134","CN","Chinanet","295","XuZhou YunQuanShanZhuang CORP","9797","socks4","5008","1","2023-10-10T02:35:47.549Z","86","3687","4308"
"193.59.26.116","elite","AS207684","PL","Bajtnet Spolka Z Ograniczona Odpowiedzialnoscia","58","BAJTNET Sp. z o.o.","4153","socks4","2212","1","2023-10-10T02:35:47.550Z","94","3903","4167"
"203.176.141.166","elite","AS38235","KH","Angkor Data Communication","302","Mekongnet","4145","socks4","4487","1","2023-10-10T02:35:44.846Z","100","4287","4299"
"112.109.20.234","elite","AS24521","ID","DATAUTAMANET","286","N/A","4153","socks4","4803","1","2023-10-10T02:35:44.841Z","99","4218","4264"
"157.245.77.149","elite","AS14061","NL","DigitalOcean, LLC","12","DigitalOcean, LLC","2817","socks5","4908","80","2023-10-10T02:35:44.941Z","100","4253","4253"
"5.8.240.92","elite","AS3178","IQ","FastLine Communication And Information Technology","96","FastLine Communication And Information Technology Ltd","4153","socks4","5005","82","2023-10-10T02:35:44.845Z","99","4240","4285"
"140.83.52.96","elite","AS31898","JP","Oracle Corporation","317","Oracle Cloud Infrastructure (ap-osaka-1)","41379","socks4","5094","1","2023-10-10T02:35:44.840Z","60","2565","4286"
"183.89.117.134","elite","AS45629","TH","Triple T Broadband Public Company Limited","293","Triple T Broadband Public Company Limited","4145","socks4","4997","1","2023-10-10T02:35:41.241Z","99","4249","4312"
"171.248.37.225","elite","AS7552","VN","Viettel Corporation","283","VIETEL","5678","socks4","1308","1","2023-10-10T02:35:41.243Z","82","3468","4254"
"201.140.238.230","elite","AS266148","BR","Mais Fibra Telecomunicacao Ltda","200","Mais Fibra Telecomunicacao Ltda","5678","socks4","5006","1","2023-10-10T02:35:41.245Z","100","4285","4304"
"218.106.167.98","elite","AS4808","CN","China Unicom CncNet","177","Beijing Yuejing Corp","4145","socks4","3690","1","2023-10-10T02:35:41.439Z","86","3702","4289"
"116.212.142.231","elite","AS38235","KH","Angkor Data Communication","386","Mekongnet","33427","socks5","5006","1","2023-10-10T02:35:41.246Z","96","4145","4307"
"194.28.56.49","elite","AS57803","RU","TeleServise Ltd","48","TeleServis Ltd","3629","socks4","4807","1","2023-10-10T02:35:41.244Z","98","4240","4318"
"105.235.193.226","elite","AS37269","NG","Information Connectivity Solutions Limited","180","N/A","44624","socks4","4888","1","2023-10-10T02:35:38.250Z","64","2649","4164"
"124.120.106.86","elite","AS17552","TH","TRUEBB","254","N/A","5678","socks4","4984","1","2023-10-10T02:35:38.251Z","79","3355","4257"
"104.21.80.83","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks5","4209","1","2023-10-10T02:35:35.534Z","100","4242","4242"
"110.78.149.203","elite","AS131090","TH","CAT-BB","200","N/A","4145","socks4","4315","1","2023-10-10T02:35:35.349Z","79","3373","4268"
"87.255.13.217","elite","AS35810","RU","BIG TELECOM CLOSED JSC","93","N/A","8080","socks4","4987","1","2023-10-10T02:35:35.642Z","100","4313","4324"
"181.129.100.12","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","143","EPM Telecomunicaciones S.A. E.S.P","5678","socks4","4593","1","2023-10-10T02:35:35.436Z","39","1654","4296"
"103.212.93.193","elite","AS138312","IN","Best Telnet Services Private Limited","188","Best telnet services private limited","45639","socks4","4810","1","2023-10-10T02:35:35.644Z","99","4201","4225"
"165.84.180.124","elite","AS10103","HK","Hong Kong Broadband Network Ltd","296","Hong Kong Broadband Network Ltd","45927","socks4","4899","1","2023-10-10T02:35:35.432Z","97","4115","4226"
"161.97.156.209","elite","AS51167","DE","Contabo GmbH","82","Contabo GmbH","29118","socks5","5009","1","2023-10-10T02:35:35.439Z","100","4127","4127"
"217.197.151.182","elite","AS34093","CZ","PREROV","82","N/A","5678","socks4","4807","1","2023-10-10T02:35:32.343Z","100","4305","4312"
"103.208.200.222","elite","AS133275","IN","Gigantic","195","N/A","4670","socks4","5000","1","2023-10-10T02:35:32.344Z","98","4162","4235"
"138.36.150.13","elite","AS263729","AR","Pedraza Luis Eduardo","290","Pedraza Luis Eduardo","1080","socks4","138","1","2023-10-10T02:35:32.342Z","99","4267","4308"
"47.52.240.190","elite","AS45102","HK","Alibaba Cloud LLC","298","ALICLOUD-HK","808","socks4","4996","1","2023-10-10T02:35:32.336Z","99","4141","4169"
"43.130.199.69","elite","AS132203","CA","Shenzhen Tencent Computer Systems Company Limited","94","Tencent Cloud Computing","443","socks5","5096","1","2023-10-10T02:35:29.042Z","85","3636","4272"
"104.19.124.112","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1602","1","2023-10-10T02:35:29.041Z","100","4153","4153"
"45.43.239.168","elite","AS26658","US","HT","189","yunxin llc","27070","socks4","4988","1","2023-10-10T02:35:29.036Z","76","3179","4189"
"172.67.185.199","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","13335","socks4","4705","1","2023-10-10T02:35:29.044Z","100","4141","4141"
"185.92.222.127","elite","AS20473","NL","The Constant Company, LLC","100","Vultr Holdings LLC Amsterdam","9100","socks5","4796","1","2023-10-10T02:35:26.754Z","100","4308","4309"
"103.51.46.4","elite","AS133819","ID","CIM","288","N/A","4145","socks4","5092","1","2023-10-10T02:35:26.838Z","99","4265","4316"
"23.225.129.132","elite","AS132839","US","POWER LINE (HK) CO., LIMITED","208","CloudRadium L.L.C","39877","socks4","4995","1","2023-10-10T02:35:26.753Z","99","4199","4254"
"64.90.52.19","elite","AS26347","US","New Dream Network, LLC","191","New Dream Network, LLC","55552","socks4","4713","1","2023-10-10T02:35:26.755Z","100","4272","4274"
"221.2.84.42","elite","AS4837","CN","CNC Group CHINA169 Shandong Province Network","192","Feixian ShiFan College","10800","socks4","4211","1","2023-10-10T02:35:24.237Z","87","3699","4268"
"185.162.231.254","elite","AS209242","GB","Cloudflare London, LLC","11","Softconstruct Limited","80","socks5","754","1","2023-10-10T02:35:24.239Z","100","4151","4151"
"104.16.107.142","elite","AS13335","CA","Cloudflare, Inc.","78","Cloudflare, Inc.","80","socks4","5087","1","2023-10-10T02:35:24.240Z","100","4252","4253"
"43.153.174.16","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","298","Tencent Cloud Computing","80","socks5","4702","1","2023-10-10T02:35:24.235Z","96","4056","4227"
"49.0.32.154","elite","AS38744","BD","Always On Network Bangladesh Ltd.","194","Always On Network Bangladesh Ltd","10801","socks4","2110","1","2023-10-10T02:35:24.241Z","98","4186","4255"
"153.99.224.114","elite","AS4837","CN","CHINA UNICOM China169 Backbone","292","Unicom JS","1080","socks5","890","1","2023-10-10T02:35:24.242Z","85","3549","4151"
"51.222.84.118","elite","AS16276","CA","OVH SAS","87","OVH Hosting, Inc.","21777","socks4","4299","1","2023-10-10T02:35:24.337Z","100","4253","4254"
"34.117.70.177","elite","AS396982","US","Google LLC","2","Google Cloud","80","socks4","4988","2","2023-10-10T02:35:24.242Z","100","4179","4179"
"110.78.147.112","elite","AS131090","TH","CAT-BB","214","N/A","4145","socks4","4506","1","2023-10-10T02:35:24.150Z","83","3582","4291"
"168.227.143.64","elite","AS263735","US","Sociedad Buena Hosting","78","Global Digital DC","10086","socks5","991","82","2023-10-10T02:35:21.536Z","97","4078","4224"
"8.210.54.50","elite","AS45102","HK","Alibaba.com LLC","298","Hong Kong","10081","socks5","4995","1","2023-10-10T02:35:21.534Z","100","4255","4274"
"81.199.14.17","elite","AS36892","KE","IPTEC Limited","198","Gilat Satcom Ltd.","1088","socks4","4196","2","2023-10-10T02:35:18.845Z","93","3958","4244"
"165.225.94.122","elite","AS62044","CH","Zscaler Switzerland GmbH","15","Zscaler, Inc","10605","socks5","1897","1","2023-10-10T02:35:18.844Z","82","3567","4346"
"178.32.47.218","elite","AS16276","BE","OVH ISP","5","OVH BE","38650","socks5","4999","1","2023-10-10T02:35:18.940Z","100","4335","4335"
"104.16.105.146","elite","AS13335","CA","Cloudflare, Inc.","85","Cloudflare, Inc.","80","socks4","5102","1","2023-10-10T02:35:18.843Z","100","4161","4161"
"111.50.83.20","elite","AS9808","CN","China Mobile communications corporation","399","China Mobile","7302","socks5","4792","1","2023-10-10T02:35:18.842Z","50","2119","4262"
"91.92.80.199","elite","AS39251","BG","NETGUARD Ltd.","87","Netguard LLC","4145","socks4","1198","1","2023-10-10T02:35:16.034Z","98","4198","4286"
"185.94.7.236","elite","AS200848","CZ","ISP Alliance a.s.","32","GRAPE SC","4145","socks4","4608","1","2023-10-10T02:35:16.046Z","100","4253","4267"
"177.126.89.76","elite","AS262352","BR","Nova Telecom Ltda","242","Nova Telecom Ltda","8080","socks4","5091","82","2023-10-10T02:35:15.944Z","90","3795","4229"
"175.178.106.77","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","209","Golden-Bridge Netcom communication Co., LTD.","21093","socks4","4300","84","2023-10-10T02:35:15.943Z","79","3398","4313"
"203.143.38.249","elite","AS5087","LK","Lanka Communication Services (Pvt) Ltd.","199","Lanka Communication Services (Pvt) Ltd","8080","socks4","5011","1","2023-10-10T02:35:15.947Z","96","4082","4258"
"103.83.105.167","elite","AS134290","IN","Arrow Touch Wireless Internet Private Limited","195","Arrow Touch Wireless Internet Private Limited","4153","socks4","4884","1","2023-10-10T02:35:15.948Z","91","3844","4232"
"112.78.161.191","elite","AS17451","ID","Biznet Networks","187","Metronet","8089","socks4","4098","1","2023-10-10T02:35:15.945Z","93","3860","4169"
"177.128.44.129","elite","AS262605","BR","Brasil Tecpar Servicos De Telecomunicacoes SA","208","Brasil Tecpar Servicos De Telecomunicacoes SA","31337","socks4","4995","1","2023-10-10T02:35:13.235Z","100","4223","4227"
"136.144.237.16","elite","AS20857","NL","TransIP BV","89","N/A","5836","socks4","4688","1","2023-10-10T02:35:13.240Z","100","4238","4252"
"114.9.16.50","elite","AS4761","ID","PT. INDOSAT Tbk","186","PT. INDOSAT Tbk","5678","socks4","5095","1","2023-10-10T02:35:13.233Z","100","4302","4322"
"14.207.24.72","elite","AS45629","TH","Triple T Broadband Public Company Limited","295","Triple T Broadband Public Company Limited","8080","socks5","4792","1","2023-10-10T02:35:13.236Z","89","3778","4251"
"103.24.21.1","elite","AS150576","IN","Zyetek Telecom Private Limited","197","Voip Communications PVT LTD","5678","socks4","2496","1","2023-10-10T02:35:13.152Z","85","3713","4360"
"36.89.218.67","elite","AS7713","ID","PT. Telekomunikasi Indonesia","388","Telekomunikasi Indonesia","1080","socks4","4294","2","2023-10-10T02:35:13.237Z","99","4215","4254"
"103.82.11.237","elite","AS136156","BD","FNF Online","193","N/A","4153","socks4","4106","1","2023-10-10T02:35:09.939Z","99","4245","4286"
"47.242.18.103","elite","AS45102","HK","Alibaba.com LLC","297","Hong Kong","61507","socks5","5300","1","2023-10-10T02:35:09.944Z","90","3810","4231"
"192.12.113.230","elite","AS61942","BR","Turbonet Telecom Ltda","190","Turbonet Telecom Ltda","4145","socks4","4995","1","2023-10-10T02:35:07.040Z","84","3615","4291"
"185.157.109.5","elite","AS202652","EE","SkyLive Telecom ldt","68","Elevi","5678","socks4","4702","1","2023-10-10T02:35:07.148Z","100","4223","4243"
"43.153.177.44","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","283","Tencent Cloud Computing","443","socks4","4999","1","2023-10-10T02:35:07.133Z","78","3339","4264"
"23.94.73.177","elite","AS36352","US","ColoCrossing","145","RackNerd LLC","22429","socks4","4617","1","2023-10-10T02:35:07.047Z","81","3483","4293"
"34.64.4.97","elite","AS139070","SG","Google Asia Pacific Pte. Ltd.","281","Google LLC","80","socks5","4905","1","2023-10-10T02:35:07.136Z","100","4167","4167"
"177.131.29.208","elite","AS262378","BR","Compuservice Empreendimentos Ltda","199","Compuservice Empreendimentos Ltda","4153","socks4","4312","1","2023-10-10T02:35:04.148Z","98","4245","4312"
"121.4.122.206","elite","AS45090","CN","China Internet Network Information Center","281","Tencent cloud computing (Beijing) Co., Ltd.","35617","socks5","4013","1","2023-10-10T02:35:04.150Z","85","3627","4286"
"124.161.205.194","elite","AS4837","CN","CNC Group CHINA169 Sichuan Province Network","296","N/A","28643","socks5","5199","1","2023-10-10T02:35:04.236Z","13","549","4237"
"147.139.133.15","elite","AS45102","ID","Alibaba.com LLC","291","ALICLOUD-ID","61524","socks5","1103","1","2023-10-10T02:35:04.233Z","100","4251","4258"
"93.171.224.43","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","98","PE TV and Radio Company Kentavr-TV","4153","socks4","4702","1","2023-10-10T02:35:04.235Z","99","4255","4281"
"94.130.184.102","elite","AS24940","DE","Hetzner Online GmbH","15","Hetzner","10015","socks5","4686","82","2023-10-10T02:35:04.337Z","95","3999","4202"
"185.238.228.67","elite","AS209242","GB","Cloudflare London, LLC","11","Invermae Solutions SL","80","socks4","1287","1","2023-10-10T02:35:01.047Z","100","4324","4324"
"110.78.81.107","elite","AS9931","TH","CAT Telecom Public Company Limited","201","CAT Telecom public company Ltd","5678","socks4","4704","1","2023-10-10T02:35:01.039Z","99","4244","4296"
